last_name,first_name,gender,institute_name,institute_place,person_id_snsf,ocrid,role,project_number,institute,institute_urlenc,institute_ascii
Abdi,Shiferaw Kebede,male,Hawassa University Law School,Hawassa,623720,NA,projects_as_applicant,147836,"Hawassa University Law School, Hawassa","Hawassa%20University%20Law%20School,%20Hawassa",Hawassa University Law School Hawassa
Achakpa,Mimidoo,female,Women’s Right to Education Programme (WREP),Abudja,690464,NA,projects_as_applicant,171176,"Women’s Right to Education Programme (WREP), Abudja","Women%E2%80%99s%20Right%20to%20Education%20Programme%20(WREP),%20Abudja",Women s Right to Education Programme WREP Abudja
Agyakwah,Seth,male,CSIR Water Research Institute,Akosombo,617322,NA,projects_as_applicant,147278,"CSIR Water Research Institute, Akosombo","CSIR%20Water%20Research%20Institute,%20Akosombo",CSIR Water Research Institute Akosombo
Ajuwon,Ademola Johnson,male,Faculty of Public Health Department of Health University of Ibadan,Ibadan,662138,NA,projects_as_applicant,160910,"Faculty of Public Health Department of Health University of Ibadan, Ibadan","Faculty%20of%20Public%20Health%20Department%20of%20Health%20University%20of%20Ibadan,%20Ibadan",Faculty of Public Health Department of Health University of Ibadan Ibadan
Akindès,Francis,male,Université Alassane Ouattara Bouaké,Bouaké,617276,NA,projects_as_applicant,160929,"Université Alassane Ouattara Bouaké, Bouaké","Universit%C3%A9%20Alassane%20Ouattara%20Bouak%C3%A9,%20Bouak%C3%A9",Universite Alassane Ouattara Bouake Bouake
Alvarez Castillo,Danilo Antonio,male,Center for Health Studies CES Universidad del Valle de Guatemala,Guatemala City,662180,NA,projects_as_applicant,160919,"Center for Health Studies CES Universidad del Valle de Guatemala, Guatemala City","Center%20for%20Health%20Studies%20CES%20Universidad%20del%20Valle%20de%20Guatemala,%20Guatemala%20City",Center for Health Studies CES Universidad del Valle de Guatemala Guatemala City
Amacker,Michèle,female,Interdisziplinäres Zentrum für Geschlechterforschung (IZFG) Universität Bern,Bern,560072,NA,projects_as_applicant,171191,"Interdisziplinäres Zentrum für Geschlechterforschung (IZFG) Universität Bern, Bern","Interdisziplin%C3%A4res%20Zentrum%20f%C3%BCr%20Geschlechterforschung%20(IZFG)%20Universit%C3%A4t%20Bern,%20Bern",Interdisziplinares Zentrum fur Geschlechterforschung IZFG Universitat Bern Bern
Amoasah,George,male,"CHF International, Ghana","Legon, Accra",617321,NA,projects_as_applicant,147278,"CHF International, Ghana, Legon, Accra","CHF%20International,%20Ghana,%20Legon,%20Accra",CHF International Ghana Legon Accra
Andrade,Marcos,male,Laboratorio de Fisica de la Atmosfera Carrera de Fisica Universidad Mayor de San Andres,La Paz,617355,NA,projects_as_applicant,147320,"Laboratorio de Fisica de la Atmosfera Carrera de Fisica Universidad Mayor de San Andres, La Paz","Laboratorio%20de%20Fisica%20de%20la%20Atmosfera%20Carrera%20de%20Fisica%20Universidad%20Mayor%20de%20San%20Andres,%20La%20Paz",Laboratorio de Fisica de la Atmosfera Carrera de Fisica Universidad Mayor de San Andres La Paz
Ansu,Yaw,male,African Center for Economic Transformation,Accra,623459,NA,projects_as_applicant,171177,"African Center for Economic Transformation, Accra","African%20Center%20for%20Economic%20Transformation,%20Accra",African Center for Economic Transformation Accra
Arboleda,Justino,male,Juboken Enterprise Inc.,Quezon City,626803,NA,projects_as_applicant,147330,"Juboken Enterprise Inc., Quezon City","Juboken%20Enterprise%20Inc.,%20Quezon%20City",Juboken Enterprise Inc Quezon City
Atitsogbe,Kokou Amenyona,male,Institut de psychologie Université de Lausanne,Lausanne,738237,0000-0003-3469-1738,projects_as_employee,177295,"Institut de psychologie Université de Lausanne, Lausanne","Institut%20de%20psychologie%20Universit%C3%A9%20de%20Lausanne,%20Lausanne",Institut de psychologie Universite de Lausanne Lausanne
Ato Ewusie,Ebnezer,male,Biotechnology & Nuclear Agric. Res Institute,Accra,617319,NA,projects_as_applicant,147278,"Biotechnology & Nuclear Agric. Res Institute, Accra","Biotechnology%20&%20Nuclear%20Agric.%20Res%20Institute,%20Accra",Biotechnology Nuclear Agric Res Institute Accra
