project_number,project_number_string,project_title,project_title_english,responsible_applicant,funding_instrument,funding_instrument_hierarchy,institution,institution_country,university,discipline_number,discipline_name,discipline_name_hierarchy,all_disciplines,start_date,end_date,approved_amount,keywords
146777,400240_146777,"The Gender Dimensions of Social Conflicts, Armed Violence and Peacebuilding",NA,Prügl Elisabeth,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut de Hautes Etudes Internationales et du Développement,Switzerland,Graduate Institute of International and Development Studies - IHEID,10202,Political science,"Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health",10202,01.02.2014,31.01.2017,1480089.00,Social Conflict; Armed Violence; Peacebuilding; Gender
146791,IZ01Z0_146791,Experimental assessment of innovative slash and burn cultivation practices for sustainable land-use and deforestation prevention in Central Menabe (Madagascar) - AGRIFEU,Experimental assessment of innovative slash and burn cultivation practices for sustainable land-use and deforestation prevention in Central Menabe (Madagascar) - AGRIFEU,Buttler Alexandre,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Laboratoire des systèmes écologiques EPFL - ENAC - IIE - ECOS,Switzerland,EPF Lausanne - EPFL,20701,Pedology,"Mathematics, Natural- and Engineering Sciences;Environmental Sciences",20701/10206,01.11.2013,31.10.2017,357178.00,Dry forest; Soil fertility; Madagascar; Slash-and-burn cultivation; Tropical agriculture; Rural houshold; Ecosystem services
146852,IZ01Z0_146852,"AlaReLa Madagascar, the Alaotra Resilience Landscape",NA,Garcia Claude,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,"ITES-Ecosystem Management Groupe de Foresterie pour le développement ETH Zürich, CHN F 75.2",Switzerland,ETH Zurich - ETHZ,10206,Social geography and ecology,"Humanities and Social Sciences;Ethnology, social and human geography",10206/10201/10204,01.11.2013,31.08.2017,475812.00,resilience; change; biodiversity; Madagascar; landscape; policy; livelihoods; socio-ecological systems (SES)
146875,IZ01Z0_146875,Knowledge support for sustainable renewable energy policies: The prospects of pro-poor biomass energy value chains in rural-urban contexts in East Africa,NA,Ehrensperger Albrecht,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Zentrum für Entwicklung und Umwelt Universität Bern,Switzerland,University of Berne - BE,10206,Social geography and ecology,"Humanities and Social Sciences;Ethnology, social and human geography",10206/20506/20709,01.12.2013,31.05.2017,493450.00,innovation uptake; biomass energy; decision support; geo-information science; life cycle assessment; cross-scale approach
146896,IZ01Z0_146896,Electronic algorithms based on host biomarkers Point of Care Tests to decide on admission and antibiotic prescription in Tanzanian febrile children  (e-POCT project),Electronic algorithms based on host biomarkers Point of Care Tests to decide on admission and antibiotic prescription in Tanzanian febrile children  (e-POCT project),D'Acremont Valérie,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Department of Epidemiology and Public Health Swiss Tropical and Public Health Institute Universität Basel,Switzerland,University of Basel - BS,30712,Tropical Medicine,Biology and Medicine;Clinical Medicine,30712,01.01.2014,30.06.2017,438143.00,developing countries; electronic algorithms; fever; host biomarkers; malaria; pneumonia; oximetry; children; integrated management
146919,IZ01Z0_146919,Treatment of the hospital wastewaters in Côte d'Ivoire and in Colombia by advanced oxidation processes,Treatment of the hospital wastewaters in Côte d'Ivoire and in Colombia by advanced oxidation processes,Pulgarin César,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Groupe de génie électrochimique EPFL - SB - ISIC - GGEC,Switzerland,EPF Lausanne - EPFL,20301,Physical Chemistry,"Mathematics, Natural- and Engineering Sciences;Chemistry",20301/20507/20709,01.01.2014,31.12.2016,509900.00,Fenton; Pharmaceuticals; Electrochemical treatment; Advanced oxidation process; Utrasounds; Hospital wastewaters
146955,400240_146955,Fostering pluralistic memories and collective resilience in fragile transitional justice processes,Running title: Pluralistic memories and transitional justice,Elcheroth Guy,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Institut des sciences sociales Faculté des sciences sociales et politiques Université de Lausanne,Switzerland,University of Lausanne - LA,10105,Psychology,"Humanities and Social Sciences;Psychology, educational studies",10105/10201/10403,01.01.2014,31.12.2016,1558066.00,transitional justice; collective memory; communal violence; social change; peace process; collective resilience
147210,400240_147210,Ethnic Power Relations and Conflict in Fragile States,NA,Cederman Lars-Erik,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Global Governance CIS ETH Zürich,Switzerland,ETH Zurich - ETHZ,10202,Political science,"Humanities and Social Sciences;Sociology, social work, political sciences, media and communication studies, health",10202/10201/10403/10203/10301,01.01.2014,31.12.2016,1524673.00,ethnic mobilization; ethnic conflict; inequality; exclusion; ethnic politics
147278,IZ01Z0_147278,Insect-based feed and fertilizer production via waste transformation for small-holders in Ghana,Insect-based feed and fertilizer production via waste transformation for small-holders in Ghana,Fliessbach Andreas,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Forschungsinstitut für biologischen Landbau (FiBL),Switzerland,Research Institute of Organic Agriculture - FiBL,30205,Agricultural and Forestry Sciences,Biology and Medicine;General Biology,30205/20509,01.12.2013,30.11.2017,464937.00,Compost; Food security; Fish feed; Aquaculture; Black soldier fly; Soil fertility
147286,IZ01Z0_147286,Modelling spatio-temporal dynamics of malaria and mortality to develop optimised interventions and surveillance tools  in Africa,Modelling spatio-temporal dynamics of malaria and mortality to develop optimised interventions and surveillance tools  in Africa,Vounatsou Penelope,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Schweizerisches Tropen- und Public Health-Institut,Switzerland,University of Basel - BS,30912,Medical Statistics,Biology and Medicine;Social Medicine,30912/30808/30812,01.04.2014,31.08.2017,493655.00,geostatistics; Demographic Health Surveys; mapping; mortality; Malaria Indicator Surveys; Gaussian process; Bayesian methods; Markov chain Monte Carlo; spatio-temporal process; Africa; Millennium Development Goals; malaria
147314,IZ01Z0_147314,"Establishing a soil monitoring network to assess the environmental exposure to PAHs and PCBs in the province of Mayabeque, Cuba (Soil-Q)","Establishing a soil monitoring network to assess the environmental exposure to PAHs and PCBs in the province of Mayabeque, Cuba (Soil-Q)",Bucheli Thomas Daniel,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Forschungsanstalt Agroscope Reckenholz-Tänikon ART,Switzerland,Research Institutes Agroscope - AGS,20709,Other disciplines of Environmental Sciences,"Mathematics, Natural- and Engineering Sciences;Environmental Sciences",20709,01.10.2013,30.06.2017,529739.00,risk assessment; soil pollution; bioavailability; environmental exposure; persistent organic pollutants
147320,IZ01Z0_147320,Data on climate and Extreme weather for the Central AnDEs (DECADE),Data on climate and Extreme weather for the Central AnDEs (DECADE),Brönnimann Stefan,r4d (Swiss Programme for Research on Global Issues for Development),Programmes,Geographisches Institut Universität Bern,Switzerland,University of Berne - BE,20704,"Climatology. Atmospherical Chemistry, Aeronomy","Mathematics, Natural- and Engineering Sciences;Environmental Sciences",20704,01.02.2014,31.01.2018,471224.00,homogenization; extreme events; Andes; climate data
